"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789627014558_e9bxh","Under The Island","TOKYO GAME SHOW","—","—","Нет","849,00 TL","20%","679,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627015094_oev8q","The Great Ace Attorney Chronicles","TOKYO GAME SHOW","—","—","Нет","284,01 TL","60%","113,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627015636_9529n","Rue Valley","TOKYO GAME SHOW","—","—","Нет","601,00 TL","60%","240,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627016188_qtkmd","MX Dirt Bike: Unlimited Bike Experience","TOKYO GAME SHOW","—","—","Нет","525,00 TL","35%","341,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627016946_r64xh","Umbrella Corps","TOKYO GAME SHOW","—","—","Нет","525,00 TL","65%","183,75 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627017298_4udm4","Umbrella Corps","TOKYO GAME SHOW","—","—","Нет","629,00 TL","64%","226,44 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627018114_hn3sg","Warhammer 40,000: Shootas, Blood & Teef","TOKYO GAME SHOW","—","—","Нет","699,00 TL","50%","349,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627018471_97ldj","Pathologic 2","TOKYO GAME SHOW","—","—","Нет","1.229,00 TL","75%","307,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627019652_m2tyt","Soulslinger: Envoy of Death","TOKYO GAME SHOW","—","—","Нет","849,00 TL","60%","339,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627020035_6g564","Xuan Yuan Sword 7","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","60%","699,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627020847_ix8k8","River City Girls 2","TOKYO GAME SHOW","—","—","Нет","1.399,00 TL","50%","699,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627021258_di9qy","UnMetal","TOKYO GAME SHOW","—","—","Нет","595,00 TL","75%","148,75 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627021619_sa70s","SNK VS. CAPCOM SVC CHAOS","TOKYO GAME SHOW","—","—","Нет","699,00 TL","50%","349,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627022425_zzdd0","RAIDEN FIGHTERS","TOKYO GAME SHOW","—","—","Нет","1.299,00 TL","20%","1.039,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627022780_umvuu","UnderMine","TOKYO GAME SHOW","—","—","Нет","730,00 TL","60%","292,00 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627023205_hngti","Urbek City Builder","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","75%","262,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627024075_0i9jz","Royal Revolt Survivors","TOKYO GAME SHOW","—","—","Нет","429,00 TL","30%","300,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627025137_cgog9","NOBUNAGA'S AMBITION: Awakening","TOKYO GAME SHOW","—","—","Нет","2.999,00 TL","25%","2.249,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627025563_7l9bv","War Mongrels","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","70%","524,70 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627026674_tldj2","Trek to Yomi","TOKYO GAME SHOW","—","—","Нет","849,00 TL","75%","212,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627027407_glomn","Wytchwood","TOKYO GAME SHOW","—","—","Нет","629,00 TL","65%","220,15 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627027767_0v8o6","River City Girls","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","50%","524,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627028141_hyp1z","Surviving Mars: Pioneer","TOKYO GAME SHOW","—","—","Нет","1.079,00 TL","15%","917,15 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627029194_v2dt2","Shantae and the Seven Sirens PS4 and","TOKYO GAME SHOW","—","—","Нет","1.299,00 TL","50%","649,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627030561_6zrwu","NOBUNAGA'S AMBITION: Awakening","TOKYO GAME SHOW","—","—","Нет","2.579,00 TL","35%","1.676,35 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627031310_ibx3x","Urban Myth Dissolution Center","TOKYO GAME SHOW","—","—","Нет","849,00 TL","30%","594,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627031888_8t85m","Shatterline","TOKYO GAME SHOW","—","—","Нет","849,00 TL","50%","424,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627032386_7347f","Love is all around 2","TOKYO GAME SHOW","—","—","Нет","649,00 TL","20%","519,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627032732_ccuyj","Ys X: Nordics","TOKYO GAME SHOW","—","—","Нет","2.099,00 TL","30%","1.469,30 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627033198_r74su","Blizzard","TOKYO GAME SHOW","—","—","Нет","999,00 TL","50%","499,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627033850_lcj7w","Valentino Rossi The Game","TOKYO GAME SHOW","—","—","Нет","649,00 TL","90%","64,90 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
