id,gameId,name,publisher,platforms,preorder,price0,edition_prices,edition_names,hasRusVoice,hasRusText,subscriptions,url,releaseDate,genre,pegi,content,isDemo,imageCount
31,PPSA14002,"Baldur's Gate 3","Larian Studios Games Ltd","PS5",Нет,2.499,00 TL,"Base Game: Game Trial; Digital Deluxe Edition: 2.799,00 TL","Base Game; Digital Deluxe Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10007460,2023-09-06,"Role Playing Games",PEGI_18,"Baldur's Gate 3 for PlayStation®5; Divinity Bard Song Pack; Exclusive Dice Theme; Treasures from Rivellon Pack; Adventurer's Pouch; Bonus Digital Content*",—,13
32,PPSA34299,"WWE 2K26 Standard Edition","2K","PS5",Нет,3.599,00 TL,"Standard Edition: Game Trial; King of Kings Edition: 3.599,00 TL; Attitude Era Edition: 5.599,00 TL; Monday Night War Edition: 5.299,00 TL","Standard Edition; King of Kings Edition; Attitude Era Edition; Monday Night War Edition",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10015300,2026-03-12,"Sport",PEGI_16,"WWE 2K26; Joe Hendry Pack; King of Kings Edition Pack; Ringside Pass Premium Season 1; Attitude Era Edition Pack; Ringside Pass Premium Season 1-4; Superstar Mega-Boost; Monday Night War Edition Pack; Ringside Pass Premium Season 1-6; Wrestlemania 42 Pack",—,16
33,PPSA07571,"Mortal Kombat™ 1","WARNER BROS. INTERACTIVE","PS5",Нет,1.749,00 TL,"Standard Edition: Included; Definitive Edition: 2.499,00 TL; Elder God Bundle: 2.999,00 TL","Standard Edition; Definitive Edition; Elder God Bundle",Нет,Да,"PS Plus Extra",https://store.playstation.com/en-tr/concept/10004911,2023-09-18,"Fighting",PEGI_18,"Mortal Kombat™ 1; Mortal Kombat™ 1; Kombat Pack; Khaos Reigns Story Expansion; Kombat Pack 2; Mortal Kombat Movie Skins; Tournament Liu Kang Skin; JCVD Skin for Johnny Cage; Mortal Kombat 1: Definitive Edition; Mortal Kombat 11: Ultimate; Mortal Kombat XL",—,12
34,PPSA28420,"NBA 2K26 for PS5®","2K","PS4, PS5",Нет,3.259,00 TL,"Standard Edition: Game Trial; Superstar Edition: 3.600,00 TL; SLAM Edition: 3.259,00 TL; NBA x PGA TOUR 2K Bundle: 3.600,00 TL; NBA 2K26 x WWE 2K25 Bundle: 3.600,00 TL","Standard Edition; Superstar Edition; SLAM Edition; NBA x PGA TOUR 2K Bundle; NBA 2K26 x WWE 2K25 Bundle",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10014149,2025-09-04,"Sport",PEGI_3,"NBA 2K26 for PS4®; NBA 2K26 for PS5®; 100,000 VC; MyTEAM Content; MyCAREER Content; 35,000 VC; NBA 2K26 Cross-Gen Digital Edition; PGA TOUR 2K25; WWE 2K25 Cross-Gen Digital Edition; WWE 2K25 Dunk & Destruction Pack",—,12
35,PPSA23372,"REANIMAL","THQ NORDIC GMBH","PS5",Нет,1.749,00 TL,"Standard: Free; REANIMAL DEMO: Free; Digital Deluxe Edition: 2.579,00 TL","Standard; REANIMAL DEMO; Digital Deluxe Edition",Да,Да,"",https://store.playstation.com/en-tr/concept/10010999,2026-02-13,"Horror",PEGI_18,"REANIMAL; REANIMAL: Friend's Pass (Trial); REANIMAL: Season Pass",—,17
36,PPSA19534,"Battlefield™ 6","EA Swiss Sarl","PS5",Нет,2.900,00 TL,"Standard Edition: 2.900,00 TL; Phantom Edition: 4.000,00 TL","Standard Edition; Phantom Edition",Нет,Нет,"EA Access",https://store.playstation.com/en-tr/concept/10009568,2025-10-10,"Shooter",PEGI_16,"Battlefield™ 6 PS5; Phantom Pack; Battlefield Pro Token; Phantom XP Boost Set",—,17
37,PPSA08560,"Split Fiction","EA Swiss Sarl","PS5",Нет,1.800,00 TL,"Standard Edition: 1.800,00 TL; Split Fiction - Friend's Pass: Free","Standard Edition; Split Fiction - Friend's Pass",Нет,Нет,"EA Access",https://store.playstation.com/en-tr/concept/10005449,2025-03-06,"Adventure",PEGI_16,"Стандартное издание",—,17
38,CUSA12042,"Assassin's Creed Odyssey","Ubisoft","PS4",Нет,119,80 TL,"Assassin's Creed Odyssey: Included; Assassin's Creed Odyssey - Deluxe Edition: 539,00 TL; Assassin's Creed® Odyssey - GOLD EDITION: 669,00 TL; Assassin's Creed Odyssey - Ultimate Edition: 147,80 TL","Assassin's Creed Odyssey; Assassin's Creed Odyssey - Deluxe Edition; Assassin's Creed® Odyssey - GOLD EDITION; Assassin's Creed Odyssey - Ultimate Edition",Да,Да,"PS Plus Extra",https://store.playstation.com/en-tr/concept/229601,2018-10-04,"Action",PEGI_18,"Assassin's Creed Odyssey; Season Pass:; Two Major Story Arcs; Day 1 bonus mission; AC III Remastered; AC Liberation Remastered",—,12
39,PPSA01619,"Mortal Kombat 11","WARNER BROS. INTERACTIVE","PS4, PS5",Нет,349,00 TL,"Standard: 349,00 TL; Mortal Kombat 11 Ultimate: 399,01 TL; Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle: 3.499,00 TL","Standard; Mortal Kombat 11 Ultimate; Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle",Нет,Да,"",https://store.playstation.com/en-tr/concept/231756,2020-11-17,"Unique",PEGI_18,"Mortal Kombat 11; Kombat Pack 1; Kombat Pack 2; Aftermath Expansion; Shao Kahn",—,17
40,PPSA15595,"MARVEL Tōkon: Fighting Souls","Sony Interactive Entertainment","PS5",Нет,2.999,00 TL,"Standard Edition: 2.999,00 TL; Digital Deluxe Edition: 4.049,00 TL; Ultimate Edition: 4.749,00 TL","Standard Edition; Digital Deluxe Edition; Ultimate Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10008019,2026-08-06,"Fighting",PEGI_12,"MARVEL Tōkon: Fighting Souls; Year 1 Characters and Stage Pass; Howard the Duck (Lobby Avatar); Cosmo (Lobby Pet); Five Character Costumes; Animated Chromatic color unlock",—,17
